"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2023","1.0827","1.0790","1.0841","1.0782","","0.32%"
"01/18/2023","1.0792","1.0790","1.0889","1.0766","","0.04%"
"01/17/2023","1.0788","1.0822","1.0870","1.0775","","-0.26%"
"01/16/2023","1.0816","1.0834","1.0875","1.0801","","-0.11%"
"01/13/2023","1.0828","1.0854","1.0869","1.0780","","-0.17%"
"01/12/2023","1.0846","1.0757","1.0868","1.0730","","0.85%"
"01/11/2023","1.0755","1.0736","1.0777","1.0725","","0.20%"
"01/10/2023","1.0734","1.0725","1.0760","1.0711","","0.06%"
"01/09/2023","1.0728","1.0637","1.0761","1.0636","","0.79%"
"01/06/2023","1.0644","1.0522","1.0648","1.0483","","1.18%"
"01/05/2023","1.0520","1.0604","1.0632","1.0515","","-0.75%"
"01/04/2023","1.0599","1.0552","1.0636","1.0540","","0.50%"
"01/03/2023","1.0546","1.0663","1.0684","1.0519","","-1.09%"
"01/02/2023","1.0662","1.0702","1.0708","1.0650","","-0.37%"
